ident,name,type,latitude,longitude,country code,airport
KNO,ABEAM KUNOTH,VFR,-23.5416667,133.55,AU,
ABKL,ABM KILTO,VFR,-17.7386111,122.7352778,AU,
TVT,ABM TV TOWERS,VFR,-27.475,152.9166667,AU,
ACE,ACADEMY,VFR,-37.8958333,145.1805556,AU,
ANI,ACHERON ISLAND,VFR,-18.9611111,146.6361111,AU,
ACLD,ACLAND,VFR,-27.3041667,151.6888889,AU,
ACTY,ADELAIDE CBD,VFR,-34.9333333,138.6,AU,
ADB,ADELAIDE RIVER BRIDGE,VFR,-12.6583333,131.3333333,AU,
ADRM,ADELAIDE RIVER MOUTH,VFR,-12.2183333,131.2433333,AU,
AOG,ADELONG,VFR,-35.3083333,148.0666667,AU,
ADI,ADMIRALTY ISLAND,VFR,-16.9833333,145.775,AU,
ADWD,ADVENTURE WORLD,VFR,-32.0952778,115.8177778,AU,
ALON,ALAWOONA,VFR,-34.75,140.5,AU,
APL,ALBERT PARK LAKE,VFR,-37.8555556,144.975,AU,
AKMW,ALKIMOS WATER,VFR,-31.6136111,115.6766667,AU,
ALBA,ALOOMBA,VFR,-17.105,145.8333333,AU,
ALOA,ALTONA,VFR,-37.8666667,144.85,AU,
ALTS,ALTONA SOUTH,VFR,-37.8788889,144.81,AU,
ANG,ANGLESEA,VFR,-38.4166667,144.1833333,AU,
APM,ANM PAPER MILL,VFR,-36.0,146.9833333,AU,
ANA,ANNA BAY,VFR,-32.7833333,152.0833333,AU,
ANPL,ANNA PLAINS,VFR,-19.2666667,121.5166667,AU,
ANP,ANTILL PLAINS,VFR,-19.4333333,146.8333333,AU,
ARCD,ARCADIA HS,VFR,-20.8666667,138.0666667,AU,
AEN,ARDENT,VFR,-26.7783333,152.5783333,AU,
SHOP,ARMADALE SHOPS,VFR,-32.1483333,116.0158333,AU,
AWP,ARROWSMITH PT,VFR,-13.25,136.45,AU,
ASU,ARUNDEL SUBSTATION,VFR,-35.2083333,147.4,AU,
ATN,ATHERTON,VFR,-17.2583333,145.5083333,AU,
ATG,ATTUNGA,VFR,-30.9333333,150.8388889,AU,
ALEC,AUSTRALIAN LIVESTOCK EQUINE CENT,VFR,-31.1347222,150.9211111,AU,
AVNL,AVENEL,VFR,-36.8963889,145.2330556,AU,
BADA,BABINDA,VFR,-17.3416667,145.925,AU,
BMP,BACCHUS MARSH TOWNSHIP,VFR,-37.675,144.4388889,AU,
BKRL,BAKER LAKE,VFR,-26.7111111,125.9797222,AU,
BLHS,BALD HILLS MAST,VFR,-27.3130556,153.0161111,AU,
BOA,BALMORAL,VFR,-37.25,141.8333333,AU,
BANG,BANGALOW,VFR,-28.6866667,153.5166667,AU,
BDT,BARANDUDA TOWERS,VFR,-36.25,146.85,AU,
BARB,BARBAGALLO RACEWAY,VFR,-31.6666667,115.7833333,AU,
BHCP,BARN HILL CARAVAN PARK,VFR,-18.3686111,122.0405556,AU,
BSL,BARNES HILL,VFR,-27.2,152.1,AU,
BRNJ,BARRENJOEY HEAD,VFR,-33.58,151.3266667,AU,
BRR,BARRINGUN,VFR,-29.0166667,145.7,AU,
BRGE,BARRON GORGE,VFR,-16.85,145.65,AU,
BPN,BARWON PRISON,VFR,-37.9833333,144.35,AU,
KALK,BASS STRAIT,VFR,-39.5,142.5,AU,
BATB,BATEMANS BAY,VFR,-35.7166667,150.1833333,AU,
BTI,BATHURST ISLAND,VFR,-11.7663889,130.6166667,AU,
BNE,BATMAN BRIDGE,VFR,-41.2175,146.9141667,AU,
BAW,BAYWEST,VFR,-38.0,144.9266667,AU,
BCM,BEACHMERE,VFR,-27.1166667,153.05,AU,
BIV,BECTIVE HS,VFR,-30.9722222,150.7383333,AU,
BENT,BEECHMONT,VFR,-28.1333333,153.2,AU,
BCH,BEECHWORTH,VFR,-36.3583333,146.6888889,AU,
BLR,BELLBROOK,VFR,-30.8216667,152.5111111,AU,
BLIG,BELLINGEN,VFR,-30.4555556,152.8972222,AU,
BENV,BEN NEVIS,VFR,-41.4111111,147.6416667,AU,
BND,BENDEMEER,VFR,-30.8833333,151.15,AU,
BEE,BERILEE,VFR,-33.62,151.105,AU,
BESI,BESSIE POINT,VFR,-16.9033333,145.8133333,AU,
BVG,BEVERIDGE,VFR,-37.4722222,144.9708333,AU,
BDTN,BIDDESTON,VFR,-27.5583333,151.7166667,AU,
BIDG,BIDGEE 1,VFR,-35.3577778,149.0155556,AU,
BDGE,BIDGEE 2,VFR,-35.4497222,149.0544444,AU,
BIBA,BINGIL BAY,VFR,-17.8277778,146.1013889,AU,
BDWD,BIRDWOOD,VFR,-34.8233333,138.96,AU,
BCT,BLACK MT,VFR,-21.0694444,149.0958333,AU,
BKM,BLACK MT,VFR,-35.275,149.1,AU,
BKIS,BLACKSMITH ISLAND,VFR,-20.6333333,149.0666667,AU,
BLIC,BLI BLI CASTLE,VFR,-26.625,153.0333333,AU,
BTM,BOAT HARBOUR,VFR,-40.95,145.6333333,AU,
BOAT,BOATYARD,VFR,-32.1505556,115.7658333,AU,
BODD,BODDINGTON,VFR,-32.8,116.4666667,AU,
BGN,BOGANTUNGAN,VFR,-23.65,147.3,AU,
BLTB,BOLTE BRIDGE,VFR,-37.8191667,144.9322222,AU,
BSP,BOND SPRINGS,VFR,-23.5166667,133.85,AU,
BUVY,BOND UNIVERSITY,VFR,-28.0766667,153.41,AU,
BNG,BONEGILLA,VFR,-36.1444444,147.0125,AU,
BONG,BONGAREE,VFR,-27.0833333,153.1833333,AU,
BOON,BOONDALL ENTERTAINMENT CENTRE,VFR,-27.3416667,153.0841667,AU,
BOAR,BORUMBA RESV,VFR,-26.5083333,152.5833333,AU,
BBH,BOTANY BAY HEADS,VFR,-34.0083333,151.2416667,AU,
BOWB,BOWEN BRIDGE,VFR,-42.8166667,147.3,AU,
BWV,BOWENVILLE,VFR,-27.3055556,151.4875,AU,
BWMS,BOWMANS,VFR,-34.15,138.2666667,AU,
BWL,BOWRAL,VFR,-34.4791667,150.4180556,AU,
BOV,BOWRAVILLE,VFR,-30.65,152.85,AU,
BPI,BRAMPTON ISLAND,VFR,-20.8055556,149.2666667,AU,
BAXT,BRANXTON,VFR,-32.6666667,151.35,AU,
BZA,BREEZA,VFR,-31.25,150.4666667,AU,
BBBG,BRIBIE BRIDGE,VFR,-27.0736111,153.1461111,AU,
BBI,BRIBIE ISLAND,VFR,-27.0002778,153.1430556,AU,
BTO,BRIGHTON,VFR,-37.9111111,144.9861111,AU,
BTJ,BRIGHTON JETTY,VFR,-35.0166667,138.5166667,AU,
BRY,BRINGELLY,VFR,-33.9416667,150.7283333,AU,
BRIN,BRINSMEAD,VFR,-16.9083333,145.7083333,AU,
BCTY,BRISBANE CBD,VFR,-27.4666667,153.0333333,AU,
BNCG,BRISBANE CRICKET GROUND,VFR,-27.4858333,153.0380556,AU,
BDF,BROADFORD,VFR,-37.2083333,145.0416667,AU,
BYN,BROOKLYN,VFR,-37.8277778,144.8583333,AU,
BBG,BROOKLYN BRIDGE,VFR,-33.5408333,151.1958333,AU,
BTON,BROOKTON,VFR,-32.3666667,117.0166667,AU,
BRI,BROUGHTON ISLAND,VFR,-32.6083333,152.3083333,AU,
BRH,BRUNSWICK HEADS,VFR,-28.5416667,153.55,AU,
BUCP,BUCHAN PT,VFR,-16.7361111,145.6677778,AU,
BUCN,BUCHANAN HILLS,VFR,-18.9,131.0833333,AU,
BKD,BUCKLAND,VFR,-42.6111111,147.7166667,AU,
BPK,BUCKLAND PARK WEATHER RADAR,VFR,-34.6169444,138.4688889,AU,
BDH,BUNDAGEN HEAD,VFR,-30.4333333,153.075,AU,
BEN,BUNGENDORE,VFR,-35.2583333,149.4472222,AU,
BUG,BUNGIL BRIDGE,VFR,-36.05,147.35,AU,
URG,BURBONG,VFR,-35.3402778,149.3097222,AU,
BLGH,BURLEIGH HEADS,VFR,-28.0908333,153.4583333,AU,
BUB,BURNS BEACH,VFR,-31.7283333,115.7166667,AU,
BUGA,BURRAGA,VFR,-33.8833333,149.5666667,AU,
BJK,BURRINJUCK,VFR,-35.005,148.5833333,AU,
BMK,BURRUMBUTTOCK,VFR,-35.8333333,146.8,AU,
BYFD,BYFORD,VFR,-32.2166667,116.0333333,AU,
BYNO,BYNOE HARBOUR,VFR,-12.75,130.6833333,AU,
BYRK,BYROCK,VFR,-30.65,146.4,AU,
BBAY,BYRON BAY,VFR,-28.65,153.6166667,AU,
CBLT,CABLEWAY TERMINAL,VFR,-16.8483333,145.6916667,AU,
CABO,CABOOLTURE,VFR,-27.0875,152.95,AU,
CRDZ,CALOUNDRA DROPZONE,VFR,-26.8,153.11,AU,
CALT,CALTEX REFINERY,VFR,-27.415,153.1583333,AU,
CLVT,CALVERT,VFR,-27.6636111,152.5158333,AU,
CBRA,CAMBRAI,VFR,-34.6583333,139.28,AU,
CPA,CAMPANIA,VFR,-42.6661111,147.4225,AU,
