ident,name,type,latitude,longitude,country code,airport,procedures
ALN,Al Ain,VOR-DME,24.25979996,55.60639954,AE,OMAL,
AUH,Abu Dhabi,VOR-DME,24.44319916,54.64649963,AE,OMAA,
BH,Buhasa,NDB,23.61669922,53.38330078,AE,,
DUB,Dubai,VOR-DME,25.25449944,55.36569977,AE,OMDB,
FJR,Fujairah,VOR-DME,25.10169983,56.35189819,AE,OMFJ,
ID,Das Island,NDB,25.16559982,52.90029907,AE,OMAS,
JD,Jebel Dhana,NDB,24.19330025,52.625,AE,OMAJ,
MA,Al Dhafra,VORTAC,24.24679947,54.54539871,AE,OMAM,
RAV,Ras Al Khaimah,VOR-DME,25.5883007,55.94639969,AE,OMRK,
RNZ,Arzanah,NDB,24.79999924,52.55830002,AE,OMAR,
SHJ,Sharjah,VOR-DME,25.33029938,55.52059937,AE,OMSJ,
VAD,Bateen,VOR-DME,24.42740059,54.46519852,AE,OMAD,
ZKU,Zirku,NDB,24.86109924,53.07920074,AE,OMAZ,
BGM,Bagram,TACAN,34.94300079,69.2614975,AF,OAIX,
KAF,Kandahar,TACAN,31.50569916,65.84860229,AF,OAKN,
KBL,Kabul,VOR-DME,34.54560089,69.29039764,AF,OAKB,
KIA,Kabul,TACAN,34.5625,69.38899994,AF,OAKB,
OKB,Kabul,TACAN,34.56330109,69.21600342,AF,OAKB,
OKN,Kandahar,NDB,31.49939919,65.8526001,AF,OAKN,
ANU,V C Bird,VOR-DME,17.12590027,-61.80020142,AG,TAPA,
ZDX,V C Bird,NDB,17.15850067,-61.79240036,AG,TAPA,
ANG,Wallblake,NDB,18.2052002,-63.09260178,AI,TQPF,
TR,Tirana,NDB,41.46319962,19.71409988,AL,LATI,
TR,Tr,DME,41.41830063,19.71170044,AL,,
TRN,Tirana,VOR-DME,41.41609955,19.71820068,AL,LATI,
AND,Andranik,NDB,39.83029938,44.99250031,AM,,
ER,Yerevan,NDB,40.14590073,44.48239899,AM,,
GRM,Gyumri,VOR-DME,40.72940063,43.84719849,AM,,
MGR,Megri,NDB,38.93889999,46.34719849,AM,,
S,Stepanavan,NDB,41.03609848,44.35620117,AM,UDLS,
ST,Stepanavan,NDB,41.03709848,44.35720117,AM,UDLS,
SVN,Sevan,NDB,40.53430176,44.95479965,AM,,
TLN,Talin,NDB,40.38550186,43.89110184,AM,,
Z,Yerevan,NDB,40.14709854,44.36230087,AM,,
ZVR,Yerevan,VOR-DME,40.14720154,44.36700058,AM,,
AM,Ambriz,NDB,-7.833330154,13.10000038,AO,FNAM,
BC,Mbanza Congo,NDB,-6.266670227,14.25,AO,FNBC,
BG,Benguela,NDB,-12.60809994,13.40540028,AO,FNBG,
CF,Cafunfo,NDB,-8.766670227,18,AO,,
CH,Chitato,NDB,-7.400000095,20.81669998,AO,FNDU,
CV,Cuito Cuanavale,NDB,-15.16670036,19.14999962,AO,FNCV,
KK,Menongue,NDB,-14.66670036,17.73329926,AO,FNME,
KU,Kuito,NDB,-12.41670036,16.93330002,AO,FNKU,
LB,Lobito,NDB,-12.36670017,13.5333004,AO,FNLB,
LK,Lucapa,NDB,-8.416669846,20.73329926,AO,,
LU,Luanda,NDB,-8.792639732,13.30389977,AO,FNLU,
MA,Malanje,NDB,-9.550000191,16.36669922,AO,FNMA,
ME,Menongue,NDB,-14.63329983,17.68330002,AO,FNME,
NG,Negage,NDB,-7.766670227,15.30000019,AO,FNNG,
PA,Porto Amboim,NDB,-10.7166996,13.76669979,AO,FNPA,
PE,Ngiva,NDB,-17.06669998,15.75,AO,FNGI,
SA,Saurimo,NDB,-9.662269592,20.39959908,AO,FNSA,
SO,Soyo,NDB,-6.133329868,12.36670017,AO,FNSO,
SU,Sumbe,NDB,-11.16670036,13.85000038,AO,,
UG,Uige,NDB,-7.566669941,15.0333004,AO,FNUG,
VCA,Cabinda,VOR-DME,-5.616670132,12.19999981,AO,FNCA,
VHU,Huambo,VOR-DME,-12.80860043,15.74950027,AO,FNHU,
VMO,Namibe,VOR-DME,-15.26669979,12.16670036,AO,FNMO,
VNA,Luanda,VOR-DME,-8.845479965,13.24750042,AO,FNLU,
VUB,Lubango,VOR-DME,-14.91670036,13.60000038,AO,FNUB,
VUE,Luena,VOR,-11.76350021,19.87789917,AO,FNUE,
WK,Waco Kungo,NDB,-11.43330002,15.10000038,AO,FNWK,
DNO,Orcadas Del Sur,NDB,-60.71720123,-44.76689911,AQ,,
FXJ,Juan De Nova,NDB,-17.04999924,42.75,AQ,,
FXT,Tromelin,NDB,-15.89560032,54.51079941,AQ,,
FXZ,Grande Glorieuse,NDB,-13.55150032,47.28369904,AQ,,
IRJ,Isla Rey Jorge,VOR-DME,-62.19079971,-58.98249817,AQ,SCRM,
MBI,Marambio,VOR-DME,-64.23470306,-56.61999893,AQ,SAWB,
ZIR,Ice Runway,TACAN,-77.85399628,166.4689941,AQ,NZWD,
ZPG,Pegasus,TACAN,-77.95490265,166.5130005,AQ,NZWD,
ZSP,South Pole Station,TACAN,-89.99520111,120.9290009,AQ,NZSP,
ZWD,Williams Fld,TACAN,-77.86740112,167.0570068,AQ,NZWD,
A,Ministro Pistarini,NDB,-34.84159851,-58.5223999,AR,,
A,Reconquista,NDB,-29.21100044,-59.70759964,AR,,
A,Tartagal,NDB,-22.6359005,-63.79570007,AR,,
ADO,Puerto Deseado,NDB,-47.73329926,-65.90940094,AR,SAWD,
ARS,Alto Rio Senguerr,NDB,-45.01639938,-70.80110168,AR,SAVR,
B,San Carlos De Bariloche,NDB,-41.14260101,-71.18250275,AR,,
B,Escuela De Aviacion Militar,NDB,-31.43829918,-64.27500153,AR,,
BAR,San Carlos De Bariloche,VOR-DME,-41.14030075,-71.18890381,AR,SAZS,
BCA,Bahia Blanca,VOR-DME,-38.72000122,-62.15829849,AR,SAZB,
BIO,El Turbio,NDB,-51.61000061,-72.2213974,AR,SAWT,
C,Comandante Espora,NDB,-38.70669937,-62.15999985,AR,,
C,Comodoro Rivadavia,NDB,-45.78139877,-67.43270111,AR,SAVC,
C,Ministro Pistarini,NDB,-34.81710052,-58.56470108,AR,,
C,Corrientes,NDB,-27.42819977,-58.75889969,AR,SARC,
CAT,Catamarca,VOR-DME,-28.58359909,-65.74669647,AR,SANC,
CBA,Cordoba,VOR-DME,-31.31329918,-64.20359802,AR,SACO,
CHP,San Martin De Los Andes,VOR-DME,-40.0489006,-71.09529877,AR,SAZY,
CHP,San Martin De Los Andes,NDB,-40.08169937,-71.14720154,AR,SAZY,
CRR,Corrientes,VOR-DME,-27.43720055,-58.76169968,AR,SARC,
CRV,Comodoro Rivadavia,VOR-DME,-45.77330017,-67.37169647,AR,SAVC,
D,Santiago Del Estero,NDB,-27.78499985,-64.32170105,AR,,
D,Comodoro Pierrestegui,NDB,-31.28170013,-57.98830032,AR,,
D,Tandil,NDB,-37.20830154,-59.22669983,AR,,
D,El Plumerillo,NDB,-32.85490036,-68.79260254,AR,,
DIA,Concordia,NDB,-31.30170059,-58.00419998,AR,SAAC,
DIL,Tandil,VOR-DME,-37.22499847,-59.22940063,AR,SAZT,
DOZ,Mendoza,VOR-DME,-32.83190155,-68.790802,AR,SAME,
ECA,El Calafate,VOR-DME,-50.27830124,-72.04560089,AR,SAWC,
ENO,Mariano Moreno,VOR-DME,-34.56280136,-58.79059982,AR,SADJ,
EPO,Comandante Espora,NDB,-38.73389816,-62.16279984,AR,SAZB,
ERE,Ceres,VOR-DME,-29.86440086,-61.87220001,AR,,
ESQ,Esquel,VOR-DME,-42.8871994,-71.10030365,AR,SAVE,
EZE,Ezeiza,VOR-DME,-34.82419968,-58.53530121,AR,SAEZ,
F,Formosa,NDB,-26.23240089,-58.23839951,AR,,
F,Rosario,NDB,-32.88240051,-60.77970123,AR,,
FDO,San Fernando,VOR-DME,-34.45140076,-58.58420181,AR,SADF,
FSA,Formosa,VOR-DME,-26.21030045,-58.22470093,AR,SARF,
G,Rio Gallegos,NDB,-51.60699844,-69.27410126,AR,SAWG,
G,General Pico,NDB,-35.71500015,-63.75030136,AR,,
GAL,Rio Gallegos,VOR-DME,-51.61100006,-69.3302002,AR,SAWG,
GBE,General Belgrano,VOR,-35.75109863,-58.46390152,AR,,
GES,Villa Gesell,NDB,-37.23469925,-57.02389908,AR,SAZV,
GNR,General Roca,NDB,-38.98310089,-67.60109711,AR,SAHR,
GPI,General Pico,VOR,-35.69279861,-63.75080109,AR,SAZG,
GRA,Rio Grande,VOR-DME,-53.77529907,-67.7457962,AR,SAWE,
GRE,Gobernador Gregores,NDB,-48.78310013,-70.16139984,AR,SAWR,
GUA,Gualeguaychu,VOR-DME,-33.00970078,-58.61420059,AR,SAAG,
H,Cordoba,NDB,-31.28610039,-64.20739746,AR,,
IGU,Cataratas Del Iguazu,VOR-DME,-25.73450089,-54.4856987,AR,SARI,
ILM,Quilmes,NDB,-34.71080017,-58.24029922,AR,SADQ,
ITA,Las Lomitas,VOR,-24.73609924,-60.54389954,AR,SATK,
ITO,Chilecito,VOR,-29.21109962,-67.44249725,AR,SANO,
J,San Juan,NDB,-31.54330063,-68.41670227,AR,,
J,Jujuy,NDB,-24.41600037,-65.08329773,AR,,
JSM,Jose De San Martin,NDB,-44.05810165,-70.43440247,AR,SAWS,
JUA,San Juan,VOR-DME,-31.56389999,-68.42140198,AR,SANU,
JUJ,Jujuy,VOR-DME,-24.39360046,-65.09279633,AR,SASJ,
L,Salta,NDB,-24.86359978,-65.49739838,AR,SASA,
L,La Rioja,NDB,-29.35849953,-66.78150177,AR,,
L,Paso De Los Libres,NDB,-29.66939926,-57.15579987,AR,,
L,El Palomar,NDB,-34.5882988,-58.625,AR,,
L,Esquel,NDB,-42.89289856,-71.11260223,AR,,
LAR,La Rioja,VOR,-29.3885994,-66.8035965,AR,SANL,
LDR,Villa Dolores,NDB,-31.95280075,-65.14250183,AR,SAOD,
LIB,Paso De Los Libres,NDB,-29.69470024,-57.14810181,AR,SARL,
LYE,Laboulaye,VOR,-34.14110184,-63.36249924,AR,SASQ,
M,Malargue,NDB,-35.51330185,-69.5582962,AR,,
MCS,Monte Caseros,VOR-DME,-30.26670074,-57.63830185,AR,SARM,
MDP,Mar Del Plata,VOR-DME,-37.92969894,-57.57640076,AR,SAZM,
MJZ,Marcos Juarez,VOR,-32.68780136,-62.16080093,AR,SAOM,
MLG,Malargue,VOR-DME,-35.48609924,-69.57859802,AR,SAMM,
N,Resistencia,NDB,-27.42429924,-59.04510117,AR,,
N,Catamarca,NDB,-28.62170029,-65.76499939,AR,,
N,Presidente Peron,NDB,-38.95000076,-68.18710327,AR,SAZN,
N,Junin,NDB,-34.52830124,-60.93500137,AR,,
N,Aeroparque,NDB,-34.5848999,-58.3689003,AR,,
NEU,Neuquen,VOR-DME,-38.95029831,-68.15470123,AR,SAZN,
NIN,Junin,VOR,-34.54109955,-60.93389893,AR,AR-0743,
O,Santa Rosa,NDB,-36.56829834,-64.26999664,AR,,
OA,Ministro Pistarini,NDB,-34.89030075,-58.50600052,AR,,
OB,San Carlos De Bariloche,NDB,-41.12419891,-71.24849701,AR,,
OC,Ministro Pistarini,NDB,-34.80479813,-58.63339996,AR,,
